odb_file,P_index,realization,log10_K_Lower,log10_K_Middle,log10_K_Upper,COV,dh,dv,zk101,zk120,zk102,zk141,zk103,zk140,zk139,zk138,zk104,zk137,zk105,zk410,zk106,zk136,zk107,zk135,zk134,zk108,zk133,zk132,zk109,zk131,zk110
Job_P001_R01.odb,1,1,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,451.4196,434.4635,444.8526,448.5702,447.591,450.3805,465.2089,450.0849,451.6041,477.7025,511.467,507.4885,500.649,465.222,471.1347,439.1674,447.6593,458.3952,439.1059,444.2768,445.3771,444.3054,429.6358
Job_P001_R02.odb,1,2,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,454.4118,436.9966,447.9547,450.8958,449.5065,453.4244,465.1025,449.2176,448.8893,474.8864,509.5914,504.9585,499.87,463.0603,471.0427,437.79,446.4702,457.1963,439.4458,445.3285,447.2143,447.5228,432.9932
Job_P001_R03.odb,1,3,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,453.469,435.9101,446.7894,450.159,448.6216,452.5153,464.8313,449.1524,450.3405,476.4095,510.2265,505.368,500.7161,464.1105,471.1606,438.6475,446.2871,458.1761,439.1621,445.0499,446.2531,446.5852,431.4294
Job_P001_R04.odb,1,4,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,451.81,434.8148,445.4147,448.8044,448.3476,450.3313,465.3286,450.849,450.9857,477.4616,511.3853,506.8521,500.7478,464.5311,470.3112,438.7564,446.5777,457.94,438.8444,444.0719,445.8082,445.1253,430.1092
Job_P001_R05.odb,1,5,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,453.4321,436.1115,447.0197,449.3008,447.8887,450.3899,464.2146,448.6704,450.1828,476.1809,512.2079,506.3339,501.8079,464.2318,470.4499,437.2529,445.577,457.0646,437.232,443.5331,444.6617,444.4517,430.6975
Job_P001_R06.odb,1,6,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,452.4331,435.2668,446.0199,449.7601,448.6955,450.9863,465.067,450.1127,450.7047,476.6602,511.0265,506.3747,500.3819,464.3159,470.9919,438.1521,446.6983,457.1379,439.37,444.3067,446.0244,445.5354,430.2054
Job_P001_R07.odb,1,7,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,453.9382,436.5342,445.9648,449.038,446.5651,451.7521,462.1555,447.1201,447.8256,475.0464,510.629,507.177,501.0639,466.0154,473.9675,439.6048,447.959,458.7093,439.8065,444.9055,444.8753,445.6031,432.0154
Job_P001_R08.odb,1,8,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,451.4669,434.8034,445.1997,449.8562,449.2126,451.3612,465.6892,450.9268,451.3947,477.6092,510.568,506.0363,499.6391,463.1776,470.5476,438.017,446.7584,457.6416,439.4098,444.386,446.7064,445.7982,430.616
Job_P001_R09.odb,1,9,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,451.5312,433.7646,445.3223,448.7281,447.4559,454.1571,464.5898,448.7632,448.3886,474.7497,507.9787,505.357,499.348,465.7109,471.6154,440.1618,448.2215,459.0192,441.5307,446.5432,447.1379,447.0073,433.2609
Job_P001_R10.odb,1,10,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,452.6588,434.3793,445.069,447.8548,445.7713,451.3264,462.5237,447.8009,449.3976,475.2133,510.3112,507.5562,501.4904,466.7164,473.0661,440.4739,448.0568,459.1015,440.0667,444.5016,444.837,444.9068,431.2162
Job_P001_R11.odb,1,11,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,451.7684,434.7263,446.4096,450.0849,449.7312,452.9586,465.7036,450.5516,450.4438,475.9608,508.7529,505.4224,499.8536,463.0147,469.6484,437.9249,446.4341,457.5199,440.0329,445.5839,446.3341,446.8173,432.0932
Job_P001_R12.odb,1,12,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,452.0027,434.3342,444.8254,447.6472,446.5632,451.3638,463.9015,449.0517,450.2151,476.3942,511.0061,507.7851,500.6413,465.8596,472.2824,439.9226,447.6108,458.5605,439.8225,444.5191,445.4363,444.8839,430.3589
Job_P001_R13.odb,1,13,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,451.964,433.9393,444.654,447.4395,447.039,450.8902,464.1078,449.2709,450.7024,477.0682,511.1927,507.5445,500.9018,465.8694,472.1031,439.7853,447.1416,458.9327,439.4238,444.0361,445.2739,444.6528,429.7497
Job_P001_R14.odb,1,14,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,451.0668,433.5591,444.0223,447.8709,447.1047,450.8476,464.483,449.5993,451.3234,476.8211,510.4704,507.9177,500.2988,465.7619,471.8638,439.712,447.8893,459.2013,439.8508,444.4431,445.0767,444.8569,430.3539
Job_P001_R15.odb,1,15,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,452.8802,435.5686,446.2701,449.1665,448.0232,451.6598,465.334,449.8988,450.6257,476.997,511.4553,506.0448,499.4374,464.1954,471.13,439.0266,446.8337,457.623,439.1166,444.6172,446.717,445.7714,430.5831
Job_P001_R16.odb,1,16,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,450.1064,432.9614,442.8447,447.5785,447.1816,450.648,466.4302,452.3424,453.1342,479.2613,510.3133,507.3389,498.5362,466.1693,471.6413,440.7321,449.5706,460.7573,441.7667,446.0839,447.1862,444.7712,429.3547
Job_P001_R17.odb,1,17,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,452.5794,435.8348,445.977,449.7753,448.721,451.0494,465.2523,450.4673,450.6462,477.3686,510.3755,505.1238,499.6767,463.4712,471.2872,438.9327,446.9633,457.9942,439.4979,444.0231,446.7478,446.0087,431.0365
Job_P001_R18.odb,1,18,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,453.5104,436.8544,447.0911,450.7231,449.3096,451.8742,466.0852,450.8475,451.01,477.1514,509.6817,504.6922,499.107,463.6145,471.1453,438.2857,447.8396,458.751,439.8408,445.969,447.3769,446.825,431.5312
Job_P001_R19.odb,1,19,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,450.5981,433.4412,444.2832,448.4906,447.8214,450.4392,464.8559,450.6477,452.0759,477.497,511.1105,507.0946,500.9766,464.959,470.1731,438.6512,446.6821,457.9632,439.5993,444.5146,445.4339,444.5723,429.5989
Job_P001_R20.odb,1,20,-8.628681654061236,-7.5287565646798855,-6.839175397590618,0.4834858832640987,221.90588731143606,2.8571341021646015,452.8679,435.2526,446.0937,449.1387,448.4647,451.0685,464.972,449.8204,450.3282,476.361,511.068,505.7964,500.4274,463.6408,472.1328,438.5738,446.2455,457.8869,439.3481,444.438,446.2583,446.0532,431.7048
Job_P002_R01.odb,2,1,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,443.782,426.1404,434.8657,438.003,436.599,440.8521,453.234,438.3647,439.2238,465.1799,497.6552,494.9467,486.8033,453.4808,459.8532,428.7293,436.5061,448.0447,429.3024,434.3074,435.7113,435.1496,420.2952
Job_P002_R02.odb,2,2,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,444.5495,427.3692,436.8419,439.6543,437.7743,442.3437,453.0994,437.771,438.2258,463.5344,497.0717,493.5544,486.6484,451.9822,459.6574,427.0551,435.6841,446.8368,428.9184,434.5741,436.2567,436.6697,422.2288
Job_P002_R03.odb,2,3,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,443.9586,426.607,436.4182,438.8683,437.3438,441.8636,452.7855,438.0416,438.4455,464.7247,498.1028,493.918,487.3271,453.1133,459.8612,427.5026,435.8748,447.1257,428.8615,434.3236,435.5983,436.234,421.0234
Job_P002_R04.odb,2,4,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,444.8286,426.0427,435.7574,438.7786,437.0475,442.7925,453.6631,437.9741,438.6532,464.3642,495.8487,493.7203,485.3879,453.8762,461.1509,428.9699,438.2931,449.401,430.9431,436.1514,437.5753,437.5625,422.0674
Job_P002_R05.odb,2,5,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,446.0258,428.5578,437.2778,439.7472,437.5675,440.5741,451.346,435.8558,437.0026,462.9553,500.1782,495.0532,490.307,451.6601,459.0374,425.1687,433.0406,444.223,425.5565,431.6166,433.5769,434.4302,420.9819
Job_P002_R06.odb,2,6,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,443.5042,425.6018,435.6261,438.778,437.3802,442.0088,453.6701,438.5278,438.7368,464.6711,497.5987,494.0431,487.3036,452.6367,458.7951,427.5802,435.8579,447.1748,429.2645,434.1929,436.0871,435.8203,421.6769
Job_P002_R07.odb,2,7,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,444.1596,425.0743,434.7936,438.7182,437.5413,443.8561,453.5564,438.478,438.3673,463.8017,495.5455,493.6369,486.1625,453.7454,460.0569,428.7827,437.2651,448.3814,430.5478,436.0994,437.3867,437.1426,422.6313
Job_P002_R08.odb,2,8,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,444.2202,426.4085,435.8825,438.4014,436.8826,442.0521,452.4274,437.756,437.7761,463.6038,497.4636,494.2753,487.7723,453.2204,460.2248,427.9322,436.1394,447.3213,429.4346,434.427,436.166,435.4507,421.5324
Job_P002_R09.odb,2,9,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,444.6395,426.3807,435.5033,438.3266,436.7367,440.7989,453.1228,437.9192,438.484,464.7168,498.1714,494.4525,487.8999,453.0042,459.9623,427.2617,436.131,446.8713,428.2638,433.1919,435.0797,435.0072,420.7001
Job_P002_R10.odb,2,10,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,443.9744,426.3603,435.982,439.1201,437.4659,440.678,453.3936,438.7081,439.1522,465.0782,497.8732,494.1836,487.8223,452.3675,459.4609,426.8123,435.4034,446.8117,428.199,433.8654,435.7554,435.6568,420.1277
Job_P002_R11.odb,2,11,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,443.8109,426.9107,436.0114,439.1209,437.5864,440.4251,453.7652,438.1634,438.9976,465.3529,498.6202,494.624,487.526,452.4884,459.7745,426.9732,435.7103,447.3171,428.3636,433.0453,434.9977,435.3198,420.3964
Job_P002_R12.odb,2,12,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,443.3023,426.228,436.9037,440.0219,438.7204,442.3433,454.1717,438.3953,438.1896,463.9429,496.7416,493.0147,487.2809,451.489,458.3693,426.2841,435.2207,445.7155,428.6627,434.8691,436.7478,436.3934,422.2947
Job_P002_R13.odb,2,13,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,443.6072,425.3831,436.4209,439.4417,437.9849,442.1676,453.0604,437.0491,437.6116,463.1258,497.0097,493.4553,488.0406,452.6911,458.6265,426.9153,434.6478,446.2178,428.3674,434.5629,436.1,436.4084,422.0429
Job_P002_R14.odb,2,14,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,443.491,425.9771,436.4837,439.2524,437.7641,441.7014,453.4048,438.0397,437.8151,464.7256,497.8853,493.7407,487.7674,452.2314,459.1045,426.7288,435.5392,446.8646,428.2935,434.3394,436.0876,435.7113,421.1065
Job_P002_R15.odb,2,15,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,444.4128,426.6548,436.165,438.6124,437.7264,440.6902,454.402,439.4217,439.6373,465.8882,498.0371,493.6615,486.0085,452.829,459.7517,427.6538,436.4469,447.9045,429.734,434.9626,436.9635,436.3026,420.8352
Job_P002_R16.odb,2,16,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,444.6008,426.7843,436.808,439.464,437.5225,441.4295,452.3623,436.9778,437.0836,464.2875,498.2503,493.3772,487.6888,451.995,459.4384,427.094,434.4185,446.3912,427.4674,433.6008,435.5344,435.5995,421.9217
Job_P002_R17.odb,2,17,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,442.8275,425.2709,435.0737,437.6618,436.8391,440.8385,453.6798,438.5146,439.0267,465.3411,497.7811,494.913,486.9532,453.2729,459.7815,427.9234,436.2095,447.3341,428.9815,434.484,435.8637,434.8989,420.6197
Job_P002_R18.odb,2,18,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,444.5716,427.1861,436.3513,438.9878,437.364,441.7134,452.2905,437.1621,437.6845,464.1619,497.6649,494.2253,487.6992,452.5177,459.6763,427.4392,435.352,446.4748,427.809,433.37,435.9687,435.2964,421.0909
Job_P002_R19.odb,2,19,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,444.7099,427.1071,436.363,439.3176,437.6814,441.5011,453.7973,438.6027,438.9652,464.9011,497.1276,493.3175,486.5788,452.4971,459.8807,427.4109,436.3744,447.8643,429.6014,435.2029,436.9126,436.1718,421.8988
Job_P002_R20.odb,2,20,-7.562669604465964,-6.445701529257263,-5.183802107518442,0.4074038011553367,125.6352134814384,1.6368437338042383,443.0718,425.8571,434.8383,437.8483,436.4567,440.1884,451.9134,437.6678,438.3355,464.705,499.5658,495.982,489.5127,452.902,459.143,426.8219,434.5984,445.5568,426.8959,432.4017,433.6681,433.5528,419.6601
