odb_file,param_group,realization,borehole,borehole_id,target_x,target_y,node_z,calculated_head
Job_P001_R01.odb,1,1,zk101,BH01,-107.247,837.298,460.635,451.4196
Job_P001_R01.odb,1,1,zk120,BH02,-79.056,786.162,460.024,434.4635
Job_P001_R01.odb,1,1,zk102,BH03,-1.701,784.3,474.041,444.8526
Job_P001_R01.odb,1,1,zk141,BH04,42.002,755.685,478.786,448.5702
Job_P001_R01.odb,1,1,zk103,BH05,97.323,727.843,485.133,447.591
Job_P001_R01.odb,1,1,zk140,BH06,103.815,241.402,466.707,450.3805
Job_P001_R01.odb,1,1,zk139,BH07,189.974,727.986,498.776,465.2089
Job_P001_R01.odb,1,1,zk138,BH08,234.402,695.424,499.305,450.0849
Job_P001_R01.odb,1,1,zk104,BH09,286.261,668.745,499.627,451.6041
Job_P001_R01.odb,1,1,zk137,BH10,328.931,675.79,502.079,477.7025
Job_P001_R01.odb,1,1,zk105,BH11,483.884,586.18,487.554,511.467
Job_P001_R01.odb,1,1,zk410,BH12,416.455,437.474,482.247,507.4885
Job_P001_R01.odb,1,1,zk106,BH13,552.478,475.648,474.773,500.649
Job_P001_R01.odb,1,1,zk136,BH14,393.028,343.22,484.06,465.222
Job_P001_R01.odb,1,1,zk107,BH15,446.731,266.563,485.742,471.1347
Job_P001_R01.odb,1,1,zk135,BH16,354.713,291.468,486.725,439.1674
Job_P001_R01.odb,1,1,zk134,BH17,312.24,229.995,489.426,447.6593
Job_P001_R01.odb,1,1,zk108,BH18,329.522,202.805,491.454,458.3952
Job_P001_R01.odb,1,1,zk133,BH19,245.013,207.144,486.842,439.1059
Job_P001_R01.odb,1,1,zk132,BH20,180.314,185.837,481.201,444.2768
Job_P001_R01.odb,1,1,zk109,BH21,166.718,120.398,482.295,445.3771
Job_P001_R01.odb,1,1,zk131,BH22,112.697,155.798,472.818,444.3054
Job_P001_R01.odb,1,1,zk110,BH23,63.104,220.681,460.829,429.6358
Job_P001_R02.odb,1,2,zk101,BH01,-107.247,837.298,460.635,454.4118
Job_P001_R02.odb,1,2,zk120,BH02,-79.056,786.162,460.024,436.9966
Job_P001_R02.odb,1,2,zk102,BH03,-1.701,784.3,474.041,447.9547
Job_P001_R02.odb,1,2,zk141,BH04,42.002,755.685,478.786,450.8958
Job_P001_R02.odb,1,2,zk103,BH05,97.323,727.843,485.133,449.5065
Job_P001_R02.odb,1,2,zk140,BH06,103.815,241.402,466.707,453.4244
Job_P001_R02.odb,1,2,zk139,BH07,189.974,727.986,498.776,465.1025
Job_P001_R02.odb,1,2,zk138,BH08,234.402,695.424,499.305,449.2176
Job_P001_R02.odb,1,2,zk104,BH09,286.261,668.745,499.627,448.8893
Job_P001_R02.odb,1,2,zk137,BH10,328.931,675.79,502.079,474.8864
Job_P001_R02.odb,1,2,zk105,BH11,483.884,586.18,487.554,509.5914
