element_id,x_demo_m,y_demo_m,z_demo_m,layer_id,layer_name,log10_K_demo,K_demo_m_per_s
1,581.738,720.578,417.74,1,upper,-6.84431,1.431165966348257e-07
2,163.608,799.53,425.61,1,upper,-6.72359,1.889774567598197e-07
3,219.523,454.329,385.092,1,upper,-7.02041,9.54091441261753e-08
4,585.318,838.078,478.871,1,upper,-6.69817,2.0036875514529722e-07
5,205.201,905.973,451.692,1,upper,-6.68169,2.0811817074082136e-07
6,208.841,426.404,394.014,1,upper,-6.9523,1.1160920123869206e-07
7,364.315,843.97,451.369,1,upper,-6.78898,1.6256236167608694e-07
8,280.142,413.029,389.247,1,upper,-7.04182,9.081968682859264e-08
9,121.761,257.723,394.073,1,upper,-6.64457,2.2668876685747938e-07
10,501.658,137.996,434.763,1,upper,-6.84097,1.4422149727649472e-07
11,-70.658,337.94,348.332,1,upper,-6.7689,1.702550490002502e-07
12,218.955,353.807,429.746,1,upper,-6.82196,1.5067458362161047e-07
13,162.364,137.537,416.699,1,upper,-6.50301,3.1404363818237163e-07
14,260.638,720.485,444.381,1,upper,-6.82902,1.4824498142371028e-07
15,-11.622,336.43,411.642,1,upper,-6.5376,2.900013369054067e-07
16,284.543,428.859,453.482,1,upper,-7.16234,6.881133759524928e-08
17,533.485,167.721,443.377,1,upper,-6.92118,1.1990022553024337e-07
18,236.327,188.633,439.393,1,upper,-6.70478,1.9734221568927696e-07
19,374.029,344.434,404.793,1,upper,-7.09402,8.053413530052011e-08
20,115.947,740.757,444.308,1,upper,-6.66384,2.1685028636527173e-07
21,-49.953,830.453,382.569,1,upper,-6.39165,4.058354684372003e-07
22,485.072,907.407,467.061,1,upper,-6.83516,1.461638587695722e-07
23,531.495,522.012,409.444,1,upper,-7.09219,8.087420042872829e-08
24,438.925,275.012,448.247,1,upper,-7.12395,7.517094327832479e-08
25,58.75,674.286,431.351,1,upper,-6.72478,1.8846035289230277e-07
26,-185.539,626.583,352.831,1,upper,-6.92494,1.188666436430625e-07
27,345.11,313.452,392.572,1,upper,-6.89401,1.2764094180599864e-07
28,330.793,622.25,429.929,1,upper,-6.92127,1.1987538086216983e-07
29,-92.139,177.69,361.432,1,upper,-6.72998,1.8621728909190704e-07
30,192.577,231.706,388.515,1,upper,-6.78015,1.6590138054034341e-07
31,400.934,779.123,420.146,1,upper,-6.86976,1.3497085530469067e-07
32,-56.717,142.112,372.968,1,upper,-6.67751,2.101309384053063e-07
33,236.03,888.502,421.678,1,upper,-6.73936,1.8223844457496865e-07
34,149.663,704.275,406.166,1,upper,-6.72363,1.8896005209435248e-07
35,465.232,587.546,406.107,1,upper,-7.05932,8.723283762292413e-08
36,-7.947,279.543,394.2,1,upper,-6.43318,3.688247018402738e-07
37,364.463,768.61,465.339,1,upper,-6.89224,1.2816221363568574e-07
38,223.418,432.478,441.671,1,upper,-6.87631,1.329505076640956e-07
39,428.763,777.295,418.687,1,upper,-6.8922,1.2817401835540902e-07
40,-87.904,86.913,353.29,1,upper,-6.72318,1.891559470360053e-07
41,110.854,210.581,381.361,1,upper,-6.57816,2.6414354372628657e-07
42,163.178,655.927,448.046,1,upper,-6.64747,2.251800960271977e-07
43,307.72,567.265,428.13,1,upper,-7.12592,7.48307331120546e-08
44,286.505,671.328,426.493,1,upper,-6.86852,1.35356775513743e-07
45,169.118,157.065,394.064,1,upper,-6.74566,1.7961392361159958e-07
46,592.264,686.549,438.532,1,upper,-6.85328,1.4019095686334406e-07
47,126.773,434.001,369.303,1,upper,-6.75417,1.7612864744209034e-07
48,321.452,732.533,413.045,1,upper,-7.02671,9.403510200547884e-08
49,422.404,673.057,447.731,1,upper,-6.97117,1.0686364908440188e-07
50,267.197,49.516,472.885,1,upper,-6.58671,2.589941770648219e-07
51,489.531,722.776,409.516,1,upper,-6.87938,1.3201400294874783e-07
52,563.125,153.04,390.986,1,upper,-6.77618,1.6742488141390307e-07
53,-80.74,913.148,375.268,1,upper,-6.46951,3.392266784685857e-07
54,152.102,202.104,407.912,1,upper,-6.71206,1.9406177528212702e-07
55,575.018,249.717,379.397,1,upper,-6.74539,1.7972562394254702e-07
56,65.958,647.616,382.995,1,upper,-6.82577,1.4935851947737978e-07
57,14.285,825.087,384.995,1,upper,-6.50452,3.129536347770272e-07
58,-72.638,200.029,341.455,1,upper,-6.47744,3.330887770452481e-07
59,102.485,452.769,361.504,1,upper,-6.8216,1.5079953418017892e-07
60,385.536,318.846,463.003,1,upper,-7.02251,9.494891361551837e-08
61,-62.906,399.221,407.203,1,upper,-6.62349,2.379633093402448e-07
62,596.392,864.535,488.007,1,upper,-6.91652,1.211936875734115e-07
63,267.959,726.647,469.826,1,upper,-6.70123,1.989619368306661e-07
64,89.028,586.519,411.064,1,upper,-6.71531,1.9261495341822903e-07
65,469.285,337.459,429.556,1,upper,-7.10698,7.816638007077867e-08
66,16.778,365.273,382.504,1,upper,-6.71216,1.9401709605112263e-07
67,447.038,104.715,413.924,1,upper,-6.92641,1.1846498396968258e-07
68,316.871,60.687,401.846,1,upper,-6.85456,1.3977837910153066e-07
69,92.991,815.916,444.828,1,upper,-6.47421,3.3557530995725715e-07
70,391.753,471.251,412.418,1,upper,-7.18951,6.46383110307038e-08
71,418.462,686.772,417.63,1,upper,-6.8109,1.545610288489202e-07
72,-37.747,544.929,419.485,1,upper,-6.69925,1.9987109878826531e-07
73,168.331,531.212,435.171,1,upper,-6.95325,1.1136532786818746e-07
74,369.938,724.19,428.392,1,upper,-6.97356,1.0627717457900017e-07
